Default Dataset,
X,Y
0.01733395885253733,0.1479428687041727
0.030060041191128817,0.1400362258070783
0.042784747176144916,0.13257793008717045
0.055509140743186774,0.12522140452236102
0.06822916068537399,0.11928958725396172
0.08095152330879926,0.11259464157225926
0.09367422111933685,0.10579050868873083
0.10639791873089144,0.09866069062389668
0.11911723550585246,0.0929579300794362
0.13183702090777477,0.08710251430232813
0.14455977428045205,0.08028028205178528
0.15727893484642594,0.07462840658487402
0.17000137580112903,0.0679079444894295
0.1827214840984576,0.06194734553372894
0.19544093803252924,0.05619990540898134
0.2081608501161301,0.05030322307508023
0.2208799030503019,0.04468640866769974
0.2336019239552287,0.038102777786884645
0.24631930716772735,0.033029875214526994
0.25903849399531664,0.02736944502639016
0.27175898560337397,0.021283982600780016
0.2844761745071327,0.016274376100495813
0.29719609041582773,0.010376447742144468
0.3099132737800032,0.00536864576106405
0.32262881372645413,0.0008961871037870828
0.33534533588453597,-0.0038962269923234483
0.3487316993676568,-0.009120259093557126
0.3607817548863177,-0.014580359024525702
0.3734973226455882,-0.019061877707805486
0.38531393202558273,-0.02326631800147655
0.402612022428506,-0.028978084286878703
0.41610401035416955,-0.034494461687786526
0.42782888817152076,-0.03867026521155581
0.44054284474666716,-0.04262694066639938
0.45325544453518263,-0.04614164287624434
0.46597085608546607,-0.05057227648197482
0.47868329966499445,-0.05403609361427064
0.49139558703553576,-0.057449025669017106
0.5041065171023782,-0.06041981604383917
0.5168162079747557,-0.06298693882176182
0.5295246179969387,-0.06513682464877202
0.5430373728878682,-0.06889273601478113
0.5544640924867396,-0.07066911064943315
0.5676547352457979,-0.07317848176740233
0.5803628640283044,-0.07523675376983308
0.5930708539372115,-0.07724978769722307
0.6065785166196161,-0.07934691213625283
0.6188318559320921,-0.08082279303418444
0.6311923548543696,-0.082484674764217
0.6438986721296939,-0.08395284830200278
0.6566037738868283,-0.08502506678948607
0.6693069178881574,-0.08545954632334374
0.6820093501861013,-0.08566218847948937
0.6947123135946014,-0.0860378398993023
0.7074126463512306,-0.08555655647220006
0.7201125787883127,-0.08494486895263281
0.7328128936289868,-0.08445774940310541
0.7455108999421298,-0.08321862701036614
0.7582067853690252,-0.08128862592244673
0.7709015773330108,-0.079002429291683
0.783595744461048,-0.07651269235072233
0.7962870998273174,-0.0731070240138762
0.8090639100966309,-0.06860392195975973
0.8216626039915852,-0.06394814772593232
0.8341005467885412,-0.058596218290439706
0.8470310235067914,-0.0524814470062146
0.8597110276866645,-0.045378129700793246
0.8723868072389311,-0.036898639952547496
0.8846752452899538,-0.02724265617412619
0.9017665220873848,-0.010846649608149517
0.8946628603835224,-0.01809359400510918
0.9096132242283809,-0.0020889895563222516
0.9169719558701831,0.00967267965561358
0.927711891685255,0.02734653896638428
0.936231086497621,0.041974180520049476
0.9425459493545661,0.05371494431967799
0.9482826619223738,0.06571477031048628
0.9534418542439583,0.07776842201302603
0.9580241277239202,0.0896799918787328
0.9626038237555951,0.10243116552400136
0.9666117558422215,0.11336104977331338
0.97061324430813,0.12638994347152982
0.9746138736246094,0.1396987050962669
0.9780372977163231,0.1529586741930112
0.9814618673406087,0.16584548605439467
0.985461064741373,0.17962069422333274
0.9883075699914642,0.19273858148324408
0.991034968492371,0.20704081339071131
0.994221381894918,0.22227765668543875
0.9975941161703162,0.23951160714720396
1.0002311321512851,0.2581794923252495
