M=2,,M=3,
X,Y,X,Y
0.024842036082566327,0.11262604074022484,0.020368326493290345,0.10992091981612248
0.028375462997689033,0.10560092367369242,0.023019512874639714,0.10487730784479707
0.03191692651686437,0.10019743257289199,0.024773278470116317,0.09875212970007391
0.03545481821201635,0.09407321882065514,0.028312956077279988,0.09298827727355527
0.03989370251706437,0.08975129389325245,0.031852633684443604,0.08722442484703663
0.04343516603623973,0.08434780279245199,0.03628794616546829,0.0821817772681975
0.05053952401873066,0.07786515649946957,0.042496669274098176,0.07497792612753554
0.05675539077540731,0.07210275066168038,0.05137979562022932,0.06741516024988478
0.06386332058192157,0.06634082702013434,0.0620452621540242,0.05949299743900216
0.07275626944411698,0.06076004843393376,0.07182759519803986,0.05337215906046738
0.08076251299250983,0.056259871628644584,0.08606667166722021,0.04653300901171198
0.0887696494969086,0.05193987548621452,0.10298193728591384,0.03969530555168606
0.10033789455261125,0.04618036282588428,0.12257696387814357,0.033579771331826005
0.1181434373091306,0.038982780236383296,0.15197932628255265,0.02638845729348603
0.13328350638820727,0.033945919012462064,0.17693208890984355,0.021356900228239536
0.1466430211916319,0.029628816047490944,0.27409195303765765,0.006274283938578887
0.16535134247005914,0.024593883608542352,0.24021320217595513,0.010219935064239231
0.1822773235608228,0.01991834810282564,0.20634159496229934,0.015607031492772393
0.21168504370126687,0.013808118041640303,0.30618568484367903,0.0021474877575731466
0.24377252481524728,0.008420057220620829,0.33828388142972965,-0.0010784051091371066
0.2954702127735569,-0.000020466551653976206,0.36681561172844124,-0.003945865435101767
0.27140326250406266,0.003750308069822017,0.3971305751708224,-0.006992542031439217
0.3168654386735673,-0.0028917844475638693,0.42744821748122097,-0.009498676639199372
0.33826066457357773,-0.0057631023434737624,0.46311555922262804,-0.012542460058077888
0.365897652954434,-0.009171586854258895,0.495217327632702,-0.015047630273351719
0.39175230114762694,-0.012220674431812115,0.5273199889987819,-0.017372619825766447
0.41493433201533003,-0.0145504859466584,0.5594244362768733,-0.019337248052462983
0.4363322367833581,-0.016881261853991008,0.5861773982119446,-0.02112458879375934
0.4595142676510614,-0.0192110733688373,0.6245262868389001,-0.023085841646753782
0.48447953166243385,-0.021720101154056367,0.6691178309027068,-0.025404080451764333
0.5112298147294878,-0.024047983883930032,0.7128199907846936,-0.02718225946444074
0.5379800977965415,-0.026375866613803704,0.7449280098868087,-0.028426165039700853
0.5629489336319377,-0.02816417174758637,0.7770387078569411,-0.029129528626383665
0.5914860216666843,-0.02995054809639642,0.8037979204840533,-0.02965560472766631
0.6164557504580862,-0.03155867256731998,0.8323430451228527,-0.029820355110744434
0.6449937314488388,-0.033164868253270925,0.8662423339726895,-0.029621850990645425
0.6681820130085829,-0.0342334151281035,0.9055038236376167,-0.027438466401637357
0.6985059060110224,-0.03547828509584993,0.9224637370566022,-0.02526713671870818
0.7234800995824536,-0.03618550625247799,0.9367554979301278,-0.021475627658776544
0.7520225453532352,-0.036890798624133414,0.9483844639942276,-0.01498285524468784
0.7823509031357041,-0.037234765277584334,0.9573443845568614,-0.007050084116455788
0.8091136875868398,-0.03704011872743057,0.9627253374480744,-0.0012814097275055808
0.8340941318503117,-0.03648607524404491,0.9690179984212532,0.008451721440588027
0.8608640599494941,-0.03484998339101832,0.9726273265968728,0.01674196071707936
0.8787133575502999,-0.0332187135004233,0.9762491561565743,0.027554729273598103
0.9037071961538596,-0.029961960074151098,0.9807630487661132,0.03836798002636002
0.917102429197518,-0.027071836524758135,0.9834678125078131,0.04413520782658076
0.9305074847572408,-0.02219972568391504,0.9861868635456064,0.05278532623254714
0.9394513321117692,-0.01751020648714683,0.9889041286713884,0.061075083312795306
0.9475102600645069,-0.011379724183748947,0.9916321092692404,0.0715270083473527
0.9537832760055576,-0.005610567598555591,,
0.9564808960992106,-0.0012847851012076708,,
0.960975143676621,0.00556449106865399,,
0.9645773282041936,0.012413285042272494,,
0.9663864570720326,0.017459307994813676,,
0.9699939993356406,0.025389185945586798,,
0.971804914115491,0.030795570223846172,,
0.9745078919451793,0.03620243669834872,,
0.9745337876693487,0.04142767592126269,,
0.9772340866310196,0.04629400040718791,,
0.9799459940207662,0.05350267351028144,,
0.9808737753108376,0.0607103822208887,,
0.9845009626065742,0.07260423475456208,,
0.9881352935503573,0.08593953259110826,,
