M=0.4,,M=0.5,
X,Y,X,Y
0.4000886427412542,0.013713966923243781,1.3382939220729213,0.031399187288186914
1.4360760488137014,0.04040084498681917,0.39235932939560314,0.01197322963045222
2.3927780265763996,0.06377385728688689,2.171828779834499,0.05354512216774321
3.349054136945691,0.0884698976224727,3.1529705304434543,0.07937041921920618
4.305445198163687,0.11280882398808467,4.216766724069302,0.10328338030246087
5.261951210230388,0.13679063638372235,5.443968205174855,0.13203938819886685
6.138405451259564,0.15983935442347952,6.518722713900502,0.15717369872362497
7.014721751270292,0.1833166092272056,7.576185420113347,0.18436603372944904
7.971457665034402,0.20658419368289516,8.895712410590917,0.21650319033647403
8.928021152525455,0.23038744909354603,9.948266057310605,0.24227814151659466
9.88393325187385,0.2562143503340495,10.84226609638877,0.26488869840498275
10.856333134621368,0.2807446570904373,11.90583410138666,0.2898406783741774
11.877297563274594,0.30417746572723114,13.183594931257488,0.3181827116038429
12.913644057639411,0.32974877616251597,14.440896407074888,0.346218002171214
13.949754001620827,0.3560549697888926,16.521966299470392,0.3930967982005875
14.906434269790418,0.37949542655821045,15.342619886744444,0.3675269742634495
15.943643875208883,0.40238533865350434,17.22460795779196,0.41034853250690895
17.10756774793044,0.431019881200456,18.746580139474958,0.4449025042212891
18.096195953590005,0.45505965071924015,20.17659933405116,0.4773610048110464
19.13278712717885,0.479870824365195,19.352066978814833,0.4587817155686229
20.249587716815242,0.5051253418692514,21.29698016195107,0.5033544596921413
21.313936973658713,0.5288209698072248,22.31400172934815,0.5268658681934848
22.462865726619796,0.5563648742638458,23.757296268607746,0.5606877359596745
23.679359768049245,0.5839391470047333,22.951903133786374,0.5429271176207002
24.926067184259338,0.6141361584302556,24.724928772970486,0.5826364228573218
26.191233830623254,0.6436425118839758,26.212268657394986,0.6156069627423599
27.432838086760157,0.6726539369826545,25.488809679921417,0.5992137091817198
28.554753692585834,0.7006394381490967,27.166215544046366,0.637464013190997
29.799052088837563,0.725314095632936,28.461980202896484,0.6660630972309515
30.50889654835556,0.7440546805102013,29.74452949120777,0.6924293526964167
31.846707558567545,0.7725437470171137,30.643918533377928,0.7160610876039565
33.068311749417745,0.7991290294003319,32.03591571360295,0.7433291346471459
34.22700551142893,0.8221911514045004,33.18188242315543,0.7675332411131406
35.27249114378251,0.84710656904868,34.37702907897912,0.7948547121388574
36.09102854920062,0.8670235968199025,35.16358370286662,0.8110827907488413
37.240219771899056,0.8915021194961806,37.30121345451769,0.8577043049342299
38.51727115204204,0.9181653739179887,36.25837616650881,0.8346310907332745
39.63480031297343,0.9411564632655957,38.419922927962006,0.8812060616233004
40.75202074876829,0.9651066587039898,39.56568443874829,0.9063445064713226
41.86966157623842,0.9877508373379076,40.711616948506446,0.9307043360009886
42.98707437875968,1.0111034134796109,41.85751525847016,0.9552198885943256
44.10472975103107,1.0337024062642663,42.83981885209323,0.9757549271216246
45.382479594426194,1.0581957681828038,44.19633659564835,1.004098006700878
46.66077682281513,1.0809885873871794,45.73284914089302,1.0360505158470443
47.858683722547866,1.1039000979043831,44.96843115321241,1.0189368414782058
49.13709521755427,1.1263379288171773,47.54540264172215,1.0717081334455787
50.415204966582834,1.1497131839011532,46.44192929338993,1.0495447454395648
51.7737084654238,1.172959119280337,48.95266159690502,1.1001977568740713
53.21277814035026,1.1955400639997678,50.031854861535265,1.1229514509689285
54.725600839758194,1.2215828054216498,51.02689052501958,1.1413780332660644
56.23292317850471,1.2476739303441011,52.3696770511375,1.1680540552689709
57.66624834060688,1.2710617579501151,53.6106216562753,1.1924793997824874
59.52743003838297,1.2985752813958198,54.738979139853825,1.2136550941679394
61.08219829178329,1.3222920222781458,56.43173558556984,1.2444158990938976
62.806231120647176,1.347151037372561,57.74178074985136,1.2703978974978027
64.37979328855741,1.367954075632035,59.299820694154874,1.2988063905062652
65.95393021071118,1.386971544041639,61.02918443440083,1.33050711412609
68.2256874121002,1.4140386372164946,62.65668107762923,1.3576720791372119
69.90995449829543,1.4326700061261348,64.2957053675342,1.3834660371437766
71.67625242970979,1.4496522493585997,65.77099567193582,1.4059136200046973
73.37477035019222,1.4650212196306447,67.45052952326563,1.4344744889410976
75.13768791614956,1.4800237683973296,69.44962055316793,1.4641440392112393
76.90101303511592,1.4937601858159246,70.52445054915304,1.4794209640597742
78.68266758941203,1.5060258825981305,73.18503609293023,1.5134149229561775
80.62200335789868,1.5165885883623837,75.05589261887857,1.534114164829491
82.21444620270854,1.5245006552786862,77.39706756690501,1.5559308659837656
83.96023870472825,1.5302982535834624,79.22103310888951,1.571716533007392
85.72647939522085,1.5349769621272618,80.9863036856122,1.5843304068901962
87.49330782230537,1.5378297689921279,82.83416676572423,1.5953139765756634
89.01944106228706,1.5395605013190903,84.64127401738918,1.604651971172369
,,86.44915566855548,1.610463866706388
,,88.34564786948152,1.6160464326389106
,,89.65468616452179,1.6178098965853376
