x/l_1,Cp_1,x/l_2,Cp_2,x/l_3,Cp_3,x/l_4,Cp_4,x/l_5,Cp_5,x/l_6,Cp_6,x/l_7,Cp_7
0.9503,0.113,0.94937,0.129,0.94999,0.13,0.94987,0.124,0.94977,0.099,0.94953,0.062,0.94946,-0.003
0.81597,-0.003,0.81705,0.011,0.81986,0.011,0.82223,0.005,0.84954,0.017,0.84934,-0.009,0.84958,-0.069
0.66593,-0.046,0.66698,-0.044,0.67008,-0.05,0.67216,-0.062,0.75003,-0.04,0.74963,-0.06,0.75002,-0.113
0.56588,-0.078,0.56705,-0.08,0.57033,-0.077,0.5723,-0.092,0.64988,-0.077,0.6498,-0.1,0.64957,-0.135
0.46599,-0.094,0.46706,-0.084,0.47037,-0.091,0.4722,-0.11,0.54983,-0.126,0.54955,-0.119,0.54967,-0.151
0.3658,-0.055,0.36705,-0.048,0.37009,-0.069,0.37235,-0.074,0.4499,-0.126,0.44998,-0.148,0.4497,-0.168
0.26579,-0.007,0.26705,0.008,0.2701,0.008,0.2723,-0.013,0.35016,-0.095,0.3499,-0.125,0.34973,-0.155
0.16594,0.08,0.16699,0.071,0.1701,0.087,0.17242,0.082,0.25012,-0.043,0.24997,-0.105,0.24976,-0.134
0.04993,0.224,0.04909,0.262,0.05016,0.297,0.05017,0.284,0.15054,0.063,0.15016,-0.033,0.14996,-0.106
0.02002,0.347,0.01922,0.414,0.0201,0.456,0.01999,0.456,0.10029,0.137,0.10019,0.044,0.10039,-0.089
0.00593,0.747,0.0052,0.773,0.00591,0.783,0.00611,0.774,0.0655,0.273,0.06521,0.124,0.06536,-0.038
0.00034,0.53,0.00031,0.465,0.00042,0.37,0,0.393,0.0403,0.272,0.03999,0.189,0.04025,0.027
0.00216,-0.101,0.00108,-0.221,0.00222,-0.348,0.0021,-0.363,0.0203,0.413,0.01985,0.351,0.01985,0.191
0.00866,-0.889,0.00789,-1.069,0.00914,-1.159,0.00893,-1.235,0.00587,0.75,0.00567,0.663,0.00578,0.567
0.02037,-1.551,0.01906,-1.758,0.02036,-1.848,0.02012,-1.922,0.00057,0.358,0.00068,0.335,0.0005,0.314
0.03525,-1.898,0.03402,-2.033,0.03508,-2.139,0.0353,-2.175,0.00184,-1.014,0.0019,-0.407,0.00193,-0.412
0.06036,-1.022,0.05911,-1.967,0.06022,-2.073,0.06011,-2.067,0.00626,-1.015,0.00623,-0.945,0.0063,-0.992
0.09959,-0.669,0.09913,-0.839,0.10029,-1.223,0.10019,-1.335,0.01228,-1.464,0.01209,-1.443,0.01265,-1.461
0.15037,-0.606,0.14927,-0.605,0.15032,-0.572,0.15024,-0.584,0.02006,-1.903,0.01983,-1.866,0.02012,-1.666
0.20044,-0.557,0.19909,-0.601,0.20029,-0.563,0.20016,-0.519,0.02988,-2.033,0.02991,-1.929,0.02999,-1.441
0.25039,-0.527,0.2508,-0.556,0.25024,-0.528,0.25021,-0.495,0.04966,-1.961,0.04972,-1.534,0.04995,-1.258
0.3005,-0.497,0.29925,-0.525,0.30008,-0.503,0.30021,-0.453,0.07448,-1.491,0.07488,-1.208,0.07482,-1.038
0.3505,-0.484,0.34927,-0.491,0.35024,-0.475,0.35015,-0.424,0.09994,-1.218,0.09991,-0.916,0.0999,-0.732
0.40047,-0.466,0.39931,-0.467,0.40037,-0.438,0.39977,-0.381,0.13986,-0.876,0.13983,-0.622,0.13976,-0.488
0.4503,-0.441,0.44897,-0.415,0.4501,-0.406,0.45009,-0.345,0.17979,-0.624,0.17999,-0.478,0.17991,-0.409
0.50039,-0.401,0.49927,-0.38,0.50024,-0.361,0.5002,-0.306,0.22001,-0.479,0.2201,-0.406,0.2199,-0.379
0.55025,-0.348,0.54927,-0.322,0.55042,-0.297,0.55033,-0.258,0.25964,-0.408,0.25996,-0.365,0.25976,-0.36
0.60029,-0.306,0.59931,-0.267,0.60071,-0.244,0.60018,-0.201,0.29988,-0.362,0.29994,-0.335,0.29986,-0.335
0.65032,-0.252,0.64917,-0.218,0.65026,-0.189,0.65015,-0.154,0.33985,-0.336,0.34008,-0.312,0.33979,-0.318
0.71026,-0.195,0.70897,-0.153,0.71034,-0.141,0.70977,-0.105,0.37986,-0.312,0.37994,-0.292,0.37976,-0.306
0.78026,-0.126,0.77912,-0.078,0.78008,-0.063,0.78012,-0.041,0.41959,-0.29,0.41988,-0.277,0.41988,-0.335
0.85021,-0.037,0.84903,0.004,0.85001,0.02,0.8501,0.026,0.45975,-0.276,0.45976,-0.256,0.4597,-0.303
0.92027,0.066,0.91929,0.094,0.92012,0.105,0.92005,0.103,0.4996,-0.238,0.49994,-0.225,0.49987,-0.309
0.98518,0.174,0.98387,0.183,0.98611,0.192,0.98498,0.178,0.53959,-0.209,0.53988,-0.206,0.53975,-0.321
,,,,,,,,0.57961,-0.174,0.57991,-0.168,0.57985,-0.356
,,,,,,,,0.61987,-0.146,0.6197,-0.145,0.61976,-0.385
,,,,,,,,0.65968,-0.117,0.65979,-0.127,0.65966,-0.434
,,,,,,,,0.6997,-0.092,0.69976,-0.097,0.69979,-0.465
,,,,,,,,0.7394,-0.063,0.7397,-0.087,0.7398,-0.515
,,,,,,,,0.7796,-0.035,0.77962,-0.067,0.77942,-0.563
,,,,,,,,0.81937,-0.001,0.81965,-0.041,0.81985,-0.599
,,,,,,,,0.85955,0.031,0.8598,-0.021,0.85943,-0.589
,,,,,,,,0.8994,0.064,0.89977,-0.001,0.89961,-0.546
,,,,,,,,0.94227,0.106,0.94861,0.038,0.94959,-0.459
,,,,,,,,0.98506,0.147,0.98462,0.09,0.98455,-0.278
