,,Cone Angle,,,,,,,,,,,
,,2.5,5,7.5,10,12.5,15,17.5,20,22.5,25,27.5,30
Mach Number,1.5,0.0123382,0.0396615,0.0773864,0.1237983,0.1781167,0.2400313,0.309545,0.3869791,0.4731538,0.569988,NaN,NaN
,1.75,0.0114414,0.0363287,0.0704289,0.1122701,0.1612014,0.2169225,0.27939,0.3482459,0.4238192,0.50619022,0.59585744,0.69405243
,2,0.0107862,0.0339454,0.0655832,0.1044583,0.1500854,0.2022339,0.2607607,0.3255312,0.39641336,0.47330179,0.55616008,0.64511954
,2.5,0.0098298,0.03058576,0.05895952,0.09413081,0.1358608,0.1840343,0.23852578,0.29915906,0.36571047,0.43791904,0.51550425,0.59818912
,3,0.00913541,0.02824024,0.05451919,0.08747518,0.1270239,0.17310135,0.22558051,0.28426241,0.34888446,0.41912862,0.49463659,0.57503078
,3.5,0.00859242,0.02647476,0.05130225,0.08281755,0.12101992,0.16585924,0.21719882,0.2748181,0.33842506,0.40766937,0.4821544,0.56145326
,4,0.00814929,0.0250881,0.04886536,0.07939344,0.11671212,0.16077021,0.21141454,0.26840424,0.33142494,0.40010296,0.4740178,0.55271448
,4.5,0.00777855,0.02396847,0.04696202,0.07678924,0.11350386,0.15704447,0.20724252,0.26383657,0.32649601,0.39482976,0.46839852,0.54673311
,5,0.00746199,0.02304657,0.04544267,0.07475691,0.11104466,0.15423167,0.2041307,0.26046646,0.32289183,0.39100288,0.46435008,0.54245194
,6,0.00694671,0.02162337,0.04318936,0.07182851,0.10757999,0.15033841,0.19988673,0.25592332,0.31807966,0.38593639,0.45902778,0.5368579
,7,0.00654427,0.02058479,0.04162143,0.06985826,0.10530922,0.14783838,0.19720408,0.25308627,0.31510472,0.38282933,0.45578647,0.53347449
,8,0.00622092,0.01980211,0.0404858,0.06847199,0.10374427,0.14614133,0.19540407,0.25120009,0.31314047,0.38078911,0.45366854,0.5312709
,10,0.00573592,0.0187181,0.0389881,0.06670277,0.10179238,0.14406008,0.19322118,0.24893118,0.31079304,0.37836321,0.45115963,0.52867228
,12,0.00539243,0.01802077,0.03807635,0.06566456,0.10067415,0.14288515,0.19200207,0.24767463,0.30949966,0.37703244,0.44978975,0.52725561
,15,0.00503756,0.01736467,0.03726273,0.06476571,0.09972302,0.14189705,0.19098631,0.24663061,0.30843098,0.37593703,0.44866381,0.52609497
,20,0.00468137,0.01677876,0.03657736,0.06403097,0.09895953,0.1411127,0.19018534,0.24581285,0.3075937,0.37507865,0.44778536,0.52519347
