MachLine Results,,,,,Experimental Results,,,
AoA,CD,CL,,,AoA (CD),CD,AoA (CL),CL
-6,0.053627729058,-0.227471985621527,,,-6.01489328879338,0.064126086794406,-4.9812682354822,-0.209672713493115
-5,0.050447043835396,-0.194170176173835,,,-4.9965518170019,0.057438229179062,-3.99935967211783,-0.166726882464779
-4,0.047496111550143,-0.158325816480895,,,-4.04403463792525,0.052950651234463,-2.95197191151883,-0.123155880306551
-3,0.044986350717288,-0.120518709411949,,,-2.98376853337735,0.048908010976788,-1.93462303295455,-0.081022771747074
-2,0.043070026878075,-0.081207023415915,,,-1.96434192828871,0.045865056985517,-0.942820535791031,-0.036847152030349
-1,0.041869667766219,-0.040856932480754,,,-0.958241615366564,0.044463754546882,0.140007540007886,0.00591112765902
0,0.041462254728704,-3.71147507838725E-07,,,0.063424747611272,0.043623828232886,0.976668660098243,0.042282385037795
1,0.041869641894169,0.040855363742385,,,0.159483099088098,0.043667759881148,1.99883465805764,0.085849105201982
2,0.04306999383654,0.08120592300327,,,0.963855528424688,0.044180876332768,3.01628092225027,0.127368175816072
3,0.044986187435181,0.120515366773824,,,1.9670372069614,0.046424315870764,3.94305868844478,0.1680531139911
4,0.047495898250859,0.158322541524842,,,2.98520762325777,0.049950069506797,4.97119374149232,0.215968353255054
5,0.050446860495325,0.194167897159578,,,3.93483289537009,0.0540738567808,5.50488684853586,0.24022814464247
,,,,,4.94400151623591,0.05884090252058,,
,,,,,5.50183486775042,0.062227910371781,,
